,time,distance,strength
0,38,2,101
1,15,3,102
2,42,0,85
3,5,2,69
4,16,4,56
5,8,5,80
6,88,2,70
7,19,2,77
8,54,6,115
9,6,1,75
10,97,5,105
11,23,1,113
12,73,4,112
13,54,4,86
14,42,2,88
15,88,4,102
16,57,0,90
17,89,6,115
18,8,4,118
19,38,5,59
20,30,0,65
21,86,2,62
22,44,2,91
23,76,2,78
24,43,4,67
25,76,2,98
26,49,4,88
27,36,4,75
28,8,2,90
29,2,6,77
30,63,4,109
31,76,3,118
32,40,4,80
33,90,5,115
34,96,4,118
35,11,6,111
36,25,6,70
37,60,2,110
38,82,0,82
39,14,0,50
40,45,1,71
41,96,1,54
42,5,4,118
43,16,3,110
44,39,0,108
45,19,0,112
46,89,2,108
47,32,3,114
48,20,4,54
49,21,4,63
50,44,5,116
51,62,3,110
52,23,0,53
53,10,1,112
54,97,0,118
55,71,1,62
56,18,3,80
57,49,0,61
58,51,5,115
59,85,3,110
60,52,4,62
61,45,2,51
62,70,5,74
63,68,4,84
64,46,2,66
65,90,3,69
66,94,3,81
67,52,4,93
68,93,0,55
69,7,3,99
70,61,5,104
71,37,3,114
72,91,1,53
73,28,4,62
74,4,0,51
75,55,6,82
76,36,3,52
77,87,2,81
78,44,0,105
79,50,5,84
80,36,0,64
81,2,2,71
82,84,0,114
83,28,5,57
84,31,5,111
85,62,0,107
86,32,2,112
87,98,5,71
88,89,3,87
89,63,5,90
90,96,2,80
91,41,6,71
92,99,5,60
93,46,2,57
94,73,3,51
95,27,0,60
96,20,4,80
97,48,4,61
98,71,6,112
99,60,2,75
100,11,5,62
101,97,3,82
102,71,3,116
103,97,0,60
104,51,6,66
105,20,6,77
106,13,3,63
107,58,0,108
108,16,4,58
109,6,1,110
110,51,3,66
111,77,0,94
112,41,3,94
113,58,3,87
114,21,6,97
115,69,1,52
116,24,0,69
117,82,1,93
118,1,0,115
119,1,3,67
120,58,3,92
121,62,4,118
122,74,2,65
123,3,5,118
124,72,5,83
125,21,3,112
126,17,0,110
127,28,1,60
128,60,4,110
129,46,3,85
130,22,4,117
131,62,6,110
132,93,2,118
133,79,0,120
134,41,1,108
135,28,2,106
136,91,3,93
137,18,1,51
138,86,1,84
139,82,6,89
140,36,6,90
141,6,6,101
142,29,5,58
143,80,0,83
144,92,0,56
145,64,1,115
146,60,2,53
147,8,6,106
148,38,5,69
149,65,4,84
150,4,4,77
151,74,0,110
152,98,5,57
153,89,4,118
154,64,5,72
155,81,3,98
156,68,2,85
157,66,1,84
158,14,2,68
159,82,3,60
160,27,6,111
161,94,4,108
162,2,6,75
163,37,6,101
164,22,1,104
165,66,5,93
166,45,6,90
167,45,1,106
168,33,2,89
169,81,3,85
170,95,2,108
171,77,4,96
172,62,1,60
173,9,1,85
174,14,0,91
175,18,0,72
176,70,5,68
177,31,2,97
178,76,4,107
179,32,3,51
180,7,0,98
181,46,3,106
182,11,6,116
183,29,6,82
184,96,0,89
185,79,6,85
186,74,5,59
187,97,0,99
188,61,6,106
189,69,4,67
190,2,4,116
191,9,3,56
192,52,2,110
193,49,1,75
194,58,3,54
195,65,1,80
